Expert,Region,P_10_2050,P_25_2050,P_50_2050,P_75_2050,P_90_2050,period
1,China,-2,0,3,5,6,40
2,China,3.5,4,4.5,5,5.5,40
3,China,1.5,3.2,4.5,5.5,6,40
4,China,2.6,3.19,3.81,4.36,4.9,40
5,China,0.5,1.5,2.5,3.5,4.5,40
6,China,1,2,4.2,4.2,6,40
7,China,3.5,4.5,5.5,6.5,7,40
8,China,1,3,4.5,5.5,8,40
9,China,5,6,6.5,7,8,40
10,China,2,4,5.5,7.5,9,40
11,China,0,2,4,5,7,40
12,China,0,1.5,4,5,6,40
13,China,1,2,3,4,5,40
Mean,China,1.51,2.84,4.27,5.24,6.38,40
TrMean,China,1.51,2.81,4.23,5.19,6.31,40
Median,China,1,3,4.2,5,6,40
1,China,-5,-2,0.5,3,6,90
2,China,2.5,3,3.5,4,4.5,90
3,China,1.2,2,3.5,3.8,4,90
4,China,2.1,2.47,2.9,3.29,3.58,90
5,China,0.5,1,1.5,2,2.5,90
6,China,1,1.5,2.8,4.5,6,90
7,China,2,3,4,5,5.5,90
8,China,0.5,2,3,4.5,6,90
9,China,4.5,5,5.5,6.5,7.5,90
10,China,1.5,3,4,4.5,5,90
11,China,0,1.5,2.5,3.5,5,90
12,China,-2,1.5,2.5,4,5,90
13,China,0.5,1.3,2,2.5,3,90
Mean,China,0.72,1.94,2.94,3.93,4.89,90
TrMean,China,0.89,2.02,2.93,3.87,4.87,90
Median,China,1,2,2.9,4,5,90
1,High Income,-1,1.5,1.9,2.3,2.9,40
2,High Income,0.5,1,1.5,2,2.5,40
3,High Income,1.5,1.8,2.3,2.6,2.7,40
4,High Income,2.49,2.66,2.84,3.05,3.25,40
5,High Income,0,0.5,1,1.5,2,40
6,High Income,0.1,0.4,0.8,1.5,2,40
7,High Income,1.7,1.9,2.4,2.6,2.9,40
8,High Income,0,0.5,1.4,2.5,3,40
9,High Income,1.25,2,2.5,2.75,3,40
10,High Income,1,2,2.1,3.5,4,40
11,High Income,1.1,1.5,2,2.75,4,40
12,High Income,-3,0,1.5,1.8,2,40
13,High Income,0,0.4,0.7,1.1,1.4,40
Mean,High Income,0.43,1.24,1.76,2.3,2.74,40
TrMean,High Income,0.56,1.23,1.76,2.3,2.75,40
Median,High Income,0.5,1.5,1.9,2.5,2.9,40
1,High Income,-3,0,1.3,1.9,2.5,90
2,High Income,0.5,1,1.5,2,2.5,90
3,High Income,1.5,1.8,2.2,2.5,2.7,90
4,High Income,1.87,1.98,2.13,2.28,2.41,90
5,High Income,-0.5,0,0.5,1,1.5,90
6,High Income,0.1,0.4,0.6,1.4,2,90
7,High Income,1.2,1.4,1.8,2.1,2.4,90
8,High Income,0,0.5,1.4,3,4,90
9,High Income,1,1.5,2,2.5,2.75,90
10,High Income,1,2,2.1,3.5,4,90
11,High Income,1.2,1.5,1.75,2.5,3.5,90
12,High Income,-3,-1,0.8,1.7,2,90
13,High Income,0,0.4,0.7,1,1.3,90
Mean,High Income,0.14,0.88,1.44,2.11,2.58,90
TrMean,High Income,0.27,0.95,1.46,2.08,2.57,90
Median,High Income,0.5,1,1.5,2.1,2.5,90
1,Low Income,-1.5,0,2.8,4,6,40
2,Low Income,3,3.5,4,4.5,5,40
3,Low Income,1.5,3,3.8,4.2,4.3,40
4,Low Income,2.62,2.88,3.27,3.59,3.93,40
5,Low Income,1,2,3,4,5,40
6,Low Income,0.5,2,3,5.5,7,40
7,Low Income,2.4,2.6,3.1,3.2,3.6,40
8,Low Income,0.5,1,4,5,6,40
9,Low Income,4,5,5.5,6.5,7.5,40
10,Low Income,0,2,3.5,4,4.5,40
11,Low Income,0.5,2.5,4,4.75,6,40
12,Low Income,-2,1,2.5,3,3.5,40
13,Low Income,1,2,3,4,5,40
Mean,Low Income,1.04,2.27,3.5,4.33,5.18,40
TrMean,Low Income,1.05,2.23,3.41,4.25,5.12,40
Median,Low Income,1,2,3.27,4,5,40
1,Low Income,-4,0,1,3,7,90
2,Low Income,2,2.5,3,3.5,4,90
3,Low Income,1.5,2.2,3.1,3.5,3.7,90
4,Low Income,2.18,2.44,2.69,2.91,3.1,90
5,Low Income,0.5,1.5,2.5,3.5,4.5,90
6,Low Income,0.5,1.5,2.5,4,6,90
7,Low Income,1.6,1.8,2.3,2.5,2.8,90
8,Low Income,0,0.5,3.5,4.5,6,90
9,Low Income,4,5,5.5,6.5,7.5,90
